datetime,date,ws,wd,pm25,co,nox,pm10
2014-01-01 09:00:00,2014-01-01 09:00:00,1.0,328.0,34.0,0.64,,29.0
2014-01-01 10:00:00,2014-01-01 10:00:00,0.8,345.0,21.663548123026548,0.79,,53.0
2014-01-01 11:00:00,2014-01-01 11:00:00,1.0,291.0,40.0,0.69,,39.0
2014-01-01 12:00:00,2014-01-01 12:00:00,1.4,273.0,40.0,0.59,,40.0
2014-01-01 13:00:00,2014-01-01 13:00:00,1.0,349.0,35.0,0.54,,33.0
2014-01-01 14:00:00,2014-01-01 14:00:00,1.4,9.0,18.0,0.38,,20.0
2014-01-01 15:00:00,2014-01-01 15:00:00,1.9,320.0,17.0,0.38,,20.0
2014-01-01 16:00:00,2014-01-01 16:00:00,1.9,348.0,14.0,0.32,,16.0
2014-01-01 17:00:00,2014-01-01 17:00:00,2.5,329.0,15.0,0.31,,30.0
2014-01-01 18:00:00,2014-01-01 18:00:00,2.1,336.0,15.0,0.32,,22.0
2014-01-01 19:00:00,2014-01-01 19:00:00,2.1,298.0,10.0,0.35,,31.0
2014-01-01 20:00:00,2014-01-01 20:00:00,1.9,300.0,12.0,0.45,,22.0
2014-01-01 21:00:00,2014-01-01 21:00:00,0.8,288.0,16.0,0.57,,19.0
2014-01-01 22:00:00,2014-01-01 22:00:00,1.2,289.0,21.0,0.73,,22.0
2014-01-01 23:00:00,2014-01-01 23:00:00,1.7,350.0,25.0,0.69,,25.0
2014-01-02 00:00:00,2014-01-02 00:00:00,2.5,321.0,16.0,0.59,,33.0
2014-01-02 01:00:00,2014-01-02 01:00:00,2.5,317.0,13.0,0.54,,18.0
2014-01-02 02:00:00,2014-01-02 02:00:00,1.7,319.0,17.0,0.85,,21.0
2014-01-02 03:00:00,2014-01-02 03:00:00,0.4,109.0,26.0,1.23,,25.0
2014-01-02 04:00:00,2014-01-02 04:00:00,0.8,347.0,37.0,1.2,,37.0
2014-01-02 05:00:00,2014-01-02 05:00:00,0.4,349.0,27.0,1.1,,27.0
2014-01-02 06:00:00,2014-01-02 06:00:00,0.2,316.0,29.0,1.24,,26.0
2014-01-02 07:00:00,,0.8,158.0,,,,35.0
2014-01-02 08:00:00,2014-01-02 08:00:00,1.0,176.0,21.663548123026548,,,67.0
2014-01-02 09:00:00,2014-01-02 09:00:00,0.8,114.0,21.663548123026548,0.7211593650793654,,54.0
2014-01-02 10:00:00,2014-01-02 10:00:00,1.6,135.0,27.0,1.02,,22.0
2014-01-02 11:00:00,2014-01-02 11:00:00,1.0,161.0,20.0,0.73,,16.0
2014-01-02 12:00:00,2014-01-02 12:00:00,0.8,130.0,14.0,0.57,,13.0
2014-01-02 13:00:00,2014-01-02 13:00:00,1.0,79.0,12.0,0.37,,10.0
2014-01-02 14:00:00,2014-01-02 14:00:00,1.0,95.0,15.0,0.28,,10.0
2014-01-02 15:00:00,2014-01-02 15:00:00,1.7,91.0,10.0,0.25,,
2014-01-02 16:00:00,2014-01-02 16:00:00,1.0,27.0,10.0,0.33,,10.0
2014-01-02 17:00:00,2014-01-02 17:00:00,1.2,37.0,11.0,0.36,,12.0
2014-01-02 18:00:00,2014-01-02 18:00:00,1.2,320.0,17.0,,,19.0
2014-01-02 19:00:00,2014-01-02 19:00:00,0.6,14.0,11.0,0.37,,15.0
2014-01-02 20:00:00,2014-01-02 20:00:00,0.8,63.0,12.0,0.34,,9.0
2014-01-02 21:00:00,2014-01-02 21:00:00,2.3,100.0,9.0,0.36,,8.0
2014-01-02 22:00:00,2014-01-02 22:00:00,2.3,109.0,8.0,0.3,,6.0
2014-01-02 23:00:00,2014-01-02 23:00:00,1.6,109.0,7.0,0.2,,6.0
2014-01-03 00:00:00,2014-01-03 00:00:00,1.4,31.0,8.0,0.47,,9.0
2014-01-03 01:00:00,2014-01-03 01:00:00,1.2,86.0,11.0,0.31,,11.0
2014-01-03 02:00:00,2014-01-03 02:00:00,0.8,33.0,8.0,0.31,,9.0
2014-01-03 03:00:00,2014-01-03 03:00:00,1.4,349.0,16.0,0.38,,17.0
2014-01-03 04:00:00,2014-01-03 04:00:00,1.0,353.0,14.0,0.35,,13.0
2014-01-03 05:00:00,2014-01-03 05:00:00,0.8,330.0,16.0,0.5,,14.0
2014-01-03 06:00:00,2014-01-03 06:00:00,1.2,357.0,16.0,0.44,,19.0
2014-01-03 07:00:00,2014-01-03 07:00:00,1.2,338.0,17.0,0.53,,19.0
2014-01-03 08:00:00,2014-01-03 08:00:00,0.6,20.0,18.0,0.56,,15.0
